file_path,width,height,red_ratio,red_moment_1,red_moment_2,green_ratio,green_moment_1,green_moment_2,blue_ratio,blue_moment_1,blue_moment_2,focus,luminance,luminance_std,all_edges,v_edges,h_edges,d_edges,orientation,simplicity,dif_hues,faces,faces_area,smiles,rule_of_thirds,static_saliency,rank_sum,fps,size,shackiness,motion_mag,fg_area,shadow_area,bg_area,camera_move,focus_diff,gabor_0,gabor_15,gabor_30,gabor_45,gabor_60,gabor_75,gabor_90,gabor_105,gabor_120,gabor_135,gabor_150,gabor_165,EH_0,EH_1,EH_2,EH_3,EH_4,EH_5,EH_6,EH_7,EH_8,EH_9,EH_10,EH_11,EH_12,EH_13,EH_14,EH_15,EH_16,entropy
0001,3840,2160,0.345742,124.644,8.25467,0.323175,116.508,7.80988,0.331083,119.359,11.004,1,0.467593,0.0307834,20.9667,22.059,19.8744,22.6981,3,0.0330888,0.0333844,0.174545,0.00854427,0,0.0155354,0.20668,0.299798,0.499664,3.456,0.276364,0.0938157,0.684145,0.162144,0.151892,0.0127273,0.0417825,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,4,1,1,1,1,1,4,1,3,3,2,2,1,0.629075
0002,3840,2160,0.437276,121.594,11.4958,0.348921,97.0251,9.12194,0.213802,59.4523,10.0601,0.72822,0.392351,0.033801,19.9509,20.2747,19.6272,21.5465,3,0.092262,0.0946304,0.016317,0.000584754,0,0.000246812,0.166454,0.299744,0.499573,3.456,0.221445,0.0625784,0.768181,0.0533431,0.176145,0.599068,0.0431716,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,2,4,2,2,2,4,1,1,2,4,4,1,1,2,0.636625
0003,3840,2160,0.341249,116.243,6.61321,0.325639,110.926,6.11149,0.333112,113.471,6.08145,0.688871,0.442225,0.0241974,17.7671,18.8507,16.6835,20.0125,3,0.062658,0.0637772,0.0117955,0.00056063,0,0.00270861,0.149827,0.298913,0.498188,3.456,0.214941,0.056443,0.377014,0.149818,0.471857,0.00524246,0.0452523,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,3,4,4,3,3,1,4,2,2,1,1,1,1,4,0.63585
0004,3840,2160,0.337056,98.109,10.4524,0.335953,97.7879,10.8146,0.326991,95.1791,10.6821,0.57355,0.382509,0.0414689,13.9331,15.14,12.7263,16.6451,3,0.258155,0.279869,0.0100376,0.00041848,0,0.00109233,0.0964382,0.300089,0.500149,3.456,0.244668,0.054693,0.330452,0.088441,0.58048,0.00250941,0.0614994,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,4,4,4,2,4,4,2,2,2,2,2,2,4,0.593984
0005,3840,2160,0.33776,95.0762,16.5648,0.331779,93.3926,16.3327,0.33046,93.0213,17.4664,0.89988,0.367878,0.0647522,15.1901,16.2323,14.1479,17.4639,3,0.143414,0.149704,0.0404656,0.00157129,0,0.00247598,0.166029,0.30009,0.50015,3.456,0.237805,0.0452185,0.396911,0.131762,0.470772,0.00221729,0.0477969,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,1,1,1,4,1,1,4,1,1,1,4,1,0.60631
0006,3840,2160,0.336674,115.851,13.0132,0.32898,113.203,12.8217,0.334346,115.05,13.6293,0.986683,0.447774,0.0508147,16.9035,17.5698,16.2373,18.9423,3,0.0610102,0.0620861,0.0134783,0.000453555,0,0.000919011,0.203126,0.300077,0.500128,3.456,0.193913,0.0320284,0.319146,0.186842,0.493578,0,0.0491575,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,2,1,1,1,1,4,1,1,4,4,4,4,2,1,0.635124
0007,1920,1080,0.338764,141.281,1.93007,0.33093,138.013,2.098,0.330306,137.753,2.55194,0.819636,0.544903,0.00814238,17.1487,17.7704,16.527,19.1745,3,0.00488867,0.00489544,0,0,0,0,0.200381,0.299449,0.499082,0.864,0,0.0238219,0.363827,0.237053,0.396311,0,0.053079,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,1,1,3,1,4,1,1,4,4,4,4,2,4,0.637361
0008,1920,1080,0.327945,133.168,10.0345,0.330758,134.31,11.3788,0.341297,138.59,10.6541,0.353646,0.527192,0.0421645,16.8995,17.5011,16.2979,18.8588,3,0.211666,0.225207,0,0,0,0,0.144599,0.30009,0.50015,0.864,0.272973,0.0557169,0.334327,0.194213,0.47092,0,0.0916575,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2,1,1,1,1,4,4,1,4,1,1,3,4,1,0.639763
0009,1920,1080,0.327122,133.328,6.14232,0.332946,135.701,5.40845,0.339932,138.549,4.51698,0.327976,0.530557,0.0213091,16.7198,17.3693,16.0702,18.6325,3,0.249223,0.268272,0.0221566,0.000651282,0,0.00611406,0.136031,0.29991,0.49985,0.864,0.228213,0.0415298,0.290984,0.173917,0.534361,0,0.107361,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,1,1,3,4,3,3,1,1,1,4,1,0.639934
0010,3840,2160,0.339965,108.233,11.5218,0.327102,104.138,14.6846,0.332933,105.994,15.7913,0.697291,0.4139,0.0536192,16.9445,17.8634,16.0255,18.6566,3,0.105582,0.108844,0.0186535,0.000603915,0,0.00150531,0.164618,0.300027,0.500046,3.456,0.308073,0.0379637,0.389278,0.206902,0.403529,0.00116584,0.0504433,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.626444
